dia,mes,masculinoFemenino,nombre
26,9,San,Cosme
27,9,San,Vicente
28,9,San,Lorenzo
29,9,San,Gabriel
30,9,San,Gregorio
1,10,San,Remigio
2,10,San,Ángel
3,10,San,Gerardo
4,10,San,Francisco de Asís
5,10,Santa,Flora
6,10,San,Bruno
7,10,Santa,Rosario
8,10,Santa,Brígida
9,10,San,Dionisio
10,10,San,Francisco
11,10,Santa,Soledad
12,10,Santa,Pilar
13,10,San,Eduardo
14,10,San,Calixto
15,10,Santa,Teresa
16,10,San,Florentino
17,10,San,Mariano
18,10,San,Lucas
19,10,Santa,Laura
20,10,Santa,Irene
21,10,San,Heliodoro
22,10,San,Evaristo
23,10,San,Germán
24,10,San,Fortunato
25,10,San,Florencio
26,10,San,Evaristo
27,10,San,Gustavo
28,10,San,Cirilo
29,10,San,Saturnino
30,10,San,Andrés
31,10,San,Alonso
1,11,San,Santos
2,11,San,Tobías
3,11,Santa,Silvia
4,11,San,Carlos
5,11,Santa,Isabel
6,11,San,Leonardo
7,11,San,Ernesto
8,11,San,Deodato
9,11,San,Severiano
10,11,San,Modesto
11,11,San,Martín
12,11,San,Aurelio
13,11,San,Leandro
14,11,San,Serapión
15,11,San,Eugenio
16,11,Santa,Margarita
17,11,San,Dionisio
18,11,San,Román
19,11,San,Crispín
20,11,San,Gregorio
21,11,San,Celso
22,11,Santa,Cecilia
23,11,San,Clemente
24,11,Santa,Flora
25,11,San,Erasmo
26,11,Santa,Milagros
27,11,San,Virgilio
28,11,San,Honesto
29,11,San,Saturnino
30,11,San,Andrés
1,12,San,Eloy
2,12,San,Eusebio
3,12,San,Javier
4,12,San,Bernardo
5,12,San,Dalmacio
6,12,San,Emiliano
7,12,San,Ambrosio
8,12,Santa,Inmaculada
9,12,Santa,Leocadia
10,12,Santa,Loreto
11,12,San,Daniel
12,12,Santa,Guadalupe
13,12,Santa,Lucía
14,12,San,Nicasio
15,12,San,Fortunato
16,12,Santa,Adelaida
17,12,Santa,Yolanda
18,12,Santa,Esperanza
19,12,San,Darío
20,12,Santo,Domingo
21,12,Santo,Tomás
22,12,San,Honorato
23,12,Santa,Victoria
24,12,Santa,Belén
25,12,Santa,Natividad
26,12,San,Esteban
27,12,Santa,Fabiola
28,12,San,Cástor
29,12,San,David
30,12,Santa,Paz
31,12,San,Silvestre
